# pattern;frequency
;1289;{}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====4, ====ဆက်စပ်အသုံးများ=====4, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====4, ====အင်္ဂလိပ်=====4, ====အရေအတွက်=====4, ===ကြိယာ====2, ===နာမ်====1, ===ဘာသာပြန်====4, ===ရင်းမြစ်====4, ===ဝါစင်္ဂ====1, ===အသံထွက်====4, =={{=my=}}===4, ==ကိုးကား===2}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;4;{====ကြောင်းတူသံကွဲများ=====4, ====ဆက်စပ်အသုံးများ=====4, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====4, ====အင်္ဂလိပ်=====4, ====အရေအတွက်=====4, ===နာမ်====4, ===ဘာသာပြန်====4, ===ရင်းမြစ်====4, ===အသံထွက်====4, =={{=my=}}===4, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;4;{====ကြောင်းတူသံကွဲများ=====5, ====ဆက်စပ်အသုံးများ=====5, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====5, ====အင်္ဂလိပ်=====5, ====အရေအတွက်=====5, ===ကြိယာ====5, ===ဘာသာပြန်====5, ===ရင်းမြစ်====5, ===အသံထွက်====5, =={{=my=}}===5, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;4;{====ကြောင်းတူသံကွဲများ=====6, ====ဆက်စပ်အသုံးများ=====6, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====6, ====အင်္ဂလိပ်=====6, ====အရေအတွက်=====6, ===နာမ်====6, ===ဘာသာပြန်====6, ===ရင်းမြစ်====6, ===အသံထွက်====6, =={{=my=}}===6, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====9, ====ဆက်စပ်အသုံးများ=====9, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====9, ====အင်္ဂလိပ်=====9, ====အရေအတွက်=====9, ===ကြိယာ====5, ===နာမ်====4, ===ဘာသာပြန်====9, ===ရင်းမြစ်====9, ===အသံထွက်====9, =={{=my=}}===9, ==ကိုးကား===2}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;3;{====ကြောင်းတူသံကွဲများ=====7, ====ဆက်စပ်အသုံးများ=====7, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====7, ====အင်္ဂလိပ်=====7, ====အရေအတွက်=====7, ===ကြိယာ====5, ===နာမဝိသေသန====2, ===ဘာသာပြန်====7, ===ရင်းမြစ်====7, ===အသံထွက်====7, =={{=my=}}===7, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====8, ====ဆက်စပ်အသုံးများ=====8, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====8, ====အင်္ဂလိပ်=====8, ====အရေအတွက်=====8, ===ကြိယာ====3, ===နာမ်====4, ===ဘာသာပြန်====8, ===ရင်းမြစ်====8, ===ဝါစင်္ဂ====1, ===အသံထွက်====8, =={{=my=}}===8, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;2;{====ကြောင်းတူသံကွဲများ=====9, ====ဆက်စပ်အသုံးများ=====9, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====9, ====အင်္ဂလိပ်=====9, ====အရေအတွက်=====9, ===ကြိယာ====3, ===နာမ်====3, ===ဘာသာပြန်====9, ===ရင်းမြစ်====9, ===ဝါစင်္ဂ====3, ===အသံထွက်====9, =={{=my=}}===9, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;2;{====ကြောင်းတူသံကွဲများ=====11, ====ဆက်စပ်အသုံးများ=====11, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====11, ====အင်္ဂလိပ်=====11, ====အရေအတွက်=====11, ===ကြိယာ====4, ===နာမ်====6, ===ဘာသာပြန်====11, ===ရင်းမြစ်====11, ===ဝါစင်္ဂ====1, ===အသံထွက်====11, =={{=my=}}===11, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====12, ====ဆက်စပ်အသုံးများ=====12, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====12, ====အင်္ဂလိပ်=====12, ====အရေအတွက်=====12, ===ကြိယာ====3, ===နာမ်====4, ===ဘာသာပြန်====12, ===ရင်းမြစ်====11, ===ဝိဘတ်====4, ===သမ္ဗန္ဓ====1, ===အသံထွက်====12, =={{=my=}}===12, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d4n2u;4;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====တရုတ်=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, =={{=my=}}===1, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n4n3u4d2u;128;{====ကြောင်းတူသံကွဲများ=====2, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, =={{=my=}}===1, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n4n3u4d2u2n3d3n3n4d4n4n4n4n3u4d2u;12;{====ကြောင်းတူသံကွဲများ=====4, ====ဆက်စပ်အသုံးများ=====2, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====2, ====အင်္ဂလိပ်=====2, ====အရေအတွက်=====2, ===နာမ်====2, ===ဘာသာပြန်====2, ===ရင်းမြစ်====2, ===အသံထွက်====2, =={{=my=}}===2, ==ကိုးကား===2}
2d3d3n3n4d4n4n4n4n3u4d2u2n3d3n3n4d4n4n4n4n3u4d2u2n3d3n3n4d4n4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====6, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====3, ====အရေအတွက်=====3, ===နာမ်====3, ===ဘာသာပြန်====3, ===ရင်းမြစ်====3, ===အသံထွက်====3, =={{=my=}}===3, ==ကိုးကား===3}
2d3d3n4d;179;{=== ရင်းမြစ် ====1, === အသံထွက် ====1, ==== နာမ် =====1, =={{=ms=}}===1}
2d3d3n4d3u;14;{====ကြောင်းတူစာလုံးကွဲများ=====1, ===တခြားသုံး ပုံစံများ====1, ===ဒါလည်းကြည့်ပါ====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d3n4d3u3n4d;1;{====ဆင်းသက်လာသောအသုံးများ=====2, ===ကြိယာ====1, ===နာမဝိသေသန====1, ===နာမ်====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n4d3u4d;7;{====ကြောင်းတူအသုံးများ=====2, ===ကြိယာဝိသေသန====1, ===နာမဝိသေသန====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n4d3u4d3u4d3u4d4n4n;1;{====ကြောင်းတူသံကွဲ=====4, ====ဆက်နွယ် အသုံး=====1, ====ဆင်းသက်လာသော အသုံး=====1, ===နာမဝိသေသန====1, ===နာမ်====1, ===အသံထွက်====1, ===အာမေဍိတ်====1, ===ုကြိယာ====1, ==အင်္ဂလိပ်===1}
2d3d3n4d4n;70;{====ဆက်စပ်အသုံးများ=====1, ====ဆင့်ပွားအသုံးများ=====1, ===နာမ်====1, ===အသံထွက်====1, =={{=ja=}}===1}
2d3d3n4d4n3u;7;{====ကြောင်းတူစာလုံးကွဲများ=====1, ====အရာတူအသုံးများ=====1, ===ဒါလည်းကြည့်ပါ====1, ===နာမ်====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n4d4n3u3n3n4d;1;{====ကြောင်းတူသံကွဲ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆင့်ပွားအသုံးများ=====1, ===ကြိယာ====1, ===ကြိယာဝိသေသန====1, ===နာမဝိသေသန====1, ===နာမ်====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n4d4n3u4d;1;{====ကြောင်းတူအသုံးများ=====2, ====ဆင့်ပွားအသုံးများ=====1, ===ကြိယာ====1, ===နာမ်====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n4d4n4n;24;{====ကြောင်းတူအသုံးများ=====1, ====ဆင့်ပွားအသုံးများ=====1, ====ဆန့်ကျင်ဘက်အသုံးများ=====1, ===နာမဝိသေသန====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n4d4n4n3u;1;{====ဆက်စပ်အသုံးများ=====1, ====ဆင့်ပွားအသုံးများ=====1, ====သံတူကြောင်းကွဲများ=====1, ==={{ကြိယာ}}====1, ===ကြိယာ====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n4d4n4n3u3n3n;1;{====ကြောင်းတူစာလုံးကွဲများ= ====1, ====ဆင်းသက်လာသောအသုံးများ=====1, ====ဒါလည်းကြည့်ပါ=====1, ===ကြားဖောက်ပြောဆိုခြင်း====1, ===ကြိယာ====1, ===နာမဝိသေသန====1, ===နာမ်====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n4d4n4n4n;4;{====ကြောင်းတူအသုံးများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆင့်ပွားအသုံးများ=====1, ====ဆန့်ကျင်ဘက်အသုံးများ=====1, ===နာမဝိသေသန====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n4d4n4n4n3u4d;1;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်နွယ်သောအသုံးများ=====1, ====ဆင်းသက်လာသောအသုံးများ=====2, ====ဒါလည်းကြည့်ပါ=====1, ===ကြိယာ====1, ===နာမ်====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d3n4d4n5d;1;{=====[[ဗီယက်နမ်]]======1, ====ဆက်စပ်အသုံးများ=====1, ====ဘာသာပြန်=====1, ===နာမ်====1, ===အသံထွက်====1, =={{=en=}}===1}
2d3d3n4d5d3u;1;{=====အင်္ဂလိပ်======1, ====ဘာသာပြန်=====1, ===နာမဝိသေသန====1, ===နာမ်====1, ===အသံထွက်====1, =={{=my=}}===1}
2d3d3n5d;2;{=====ကြောင်းတူအသုံးများ======1, ===နာမဝိသေသန====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d4d;82;{====အသုံးပြု​ပုံ မှတ်ချက်=====1, ===နာမ​ဝိသေသ​န====1, ==အင်္ဂလိပ်===1}
2d3d4d2u3d;2;{====နာမဝိသေသန=====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ==ကြိယာ နှင့် နာမဝိသေသန===1, ==အင်္ဂလိပ်===1}
2d3d4d3u;14;{====ဆင်းသက်လာသော အသုံးများ=====1, ===နာမဝိသေသန====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d4d3u3n;7;{====နာမဝိသေသန=====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d4d3u3n3n;2;{====နာမဝိသေသန=====1, ===ကြိယာ====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d4d3u4d;8;{====ကြိယာ=====1, ====နာမ်=====1, ===ဆင်းသက်လာသော အသုံးများ====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d4d3u4d4n;1;{====သံတူကြောင်းကဲွများ=====1, ====အသံထွက်=====2, ===ကြိယာ====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d4d4n;21;{====ဆက်စပ်အသုံး=====1, ====ဆန့်ကျင်ဘက် စကားလုံး=====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d4d4n3u;2;{====ကြောင်းတူစာလုံးကွဲများ=====1, ====ဆင်းသက်လာသော အသုံးများ=====1, ===နာမဝိသေသန====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d4d4n3u3n;2;{====ကြိယာ=====1, ====နာမဝိသေသန=====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d3d4d4n3u5d4u3u4d4n6d4u4n3u;1;{======ဆင်းသက်လာသောအသုံးများ=======1, =====စာ၊စကားပြန်များ======1, ====ကြားဖောက်ပြောဆိုခြင်း=====1, ====ကြိယာ=====1, ====ကြောင်းတူစာလုံးကွဲများ=====3, ====နာမဝိသေသန=====1, ====နာမ်=====1, ===ဆင်းသက်လာသော အသုံးများ====1, ===ဆင်းသက်လာသောအသုံးများ====2, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d4d4n4n;6;{====ကြောင်းတူ သဲကွဲများ=====1, ====ဆင်းသက်လာသော သုံးနှုန်းများ=====1, ====ဆန့်ကျင်ဖက်များ=====1, ===နာမဝိသေသန====1, ==အင်္ဂလိပ်===1}
2d3d4d4n4n3u4d4n;1;{====ကြားဖောက်ပြောဆိုခြင်း=====1, ====ကြောင်းတူစာလုံးကွဲများ=====1, ====တခြားသုံးပုံစံများ=====1, ====နာမ်=====2, ===ဆင်းသက်လာသော အသုံးများ====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d4d4n4n3u4d4n3u;1;{====ကြားဖောက်ပြောဆိုခြင်း=====1, ====ကြောင်းတူစာလုံးကွဲများ=====1, ====တခြားသုံးပုံစံများ=====1, ====နာမ်=====2, ==={{en-interj}}====1, ===ဆင်းသက်လာသော အသုံးများ====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d4d4n4n4n;1;{====ကြောင်းတူသံကွဲ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆင့်ပွားအသုံးများ=====1, ====အုပ်စုဝင်များ=====1, ===နာမ်====1, =={{=en=}}===1}
2d3d4d4n4n4n5d5n4u4n4n;1;{=====ကြောင်းတူစာလုံးကွဲများ======1, =====ဆက်နွယ်သောအသုံးများ======1, ====ကြိယာ=====2, ====တခြားသုံး ပုံစံများ=====2, ====နာမ်=====3, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d4d4n5d4u5d5n4u4n5d;1;{=====ကြောင်းတူစာလုံးကွဲများ======1, =====ဆင်းသက်လာသော အသုံးများ======2, =====တခြားသုံး ပုံစံများ======1, ====ကြားဖောက်ပြောဆိုခြင်း=====1, ====ကြိယာ=====1, ====နာမဝိသေသန=====1, ====နာမ်=====2, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d4d5d;2;{=====အင်္ဂလိပ်======1, ====ဘာသာပြန်=====1, ===နာမ်====1, =={{=my=}}===1}
2d3d4d5d3u4d;1;{=====ကြောင်းတူအသုံးများ======1, ====ကြောင်းတူအသုံးများ=====1, ====နာမ်=====1, ===ကြိယာ====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d4d5d4u;3;{=====ကြောင်းတူစာလုံးကွဲများ======1, ====နာမဝိသေသန=====1, ====နာမ်=====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d4d5d4u4n4n3u;1;{=====ဆင်းသက်လာသော အသုံးများ======1, ====ကြားဖောက်ပြောဆိုခြင်း=====1, ====ကြိယာ=====1, ====နာမဝိသေသန=====1, ====နာမ်=====1, ===ကြောင်းတူသံကွဲ====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d4d5d4u5d4u;1;{=====ဆင့်ပွားအသုံးများ======2, ====ကြိယာ=====1, ====နာမဝိသေသန=====1, ====နာမ်=====1, ===အသံထွက်====1, =={{=en=}}===1}
2d3d4d5d5n;2;{=====ကြောင်းတူသံကွဲ======1, =====ဆန့်ကျင်ဘက်အသုံး======1, ====နာမဝိသေသန=====1, ===အသံထွက်====1, ==အင်္ဂလိပ်===1}
2d3d4d5d6d;1;{======ပဉ္စမအဆင့်=======1, =====စတုတ္ထအဆင့်======1, ====တတိယအဆင့်=====1, ===ဒုတိယအဆင့်====1, ==ပထမအဆင့်===1}
2d4d;1;{====နာမ်=====1, =={{=en=}}===1}
2d4d3u;2;{====အခြားအသုံးများ=====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
2d4d3u3n;11;{====ကြိယာ=====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ==အင်္ဂလိပ်===1}
2d4d3u3n3n;4;{====နာမ်=====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမဝိသေသန====1, ==အင်္ဂလိပ်===1}
2d4d4n;1;{====နာမဝိသေသန=====1, ====နာမ်=====1, =={{=en=}}===1}
2d4d4n4n;2;{====ကြောင်းတူအသုံးများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်အသုံးများ=====1, ==အင်္ဂလိပ်===1}
2d4d4n4n5d5n;1;{=====ဆက်စပ်အသုံးများ======1, =====ဆင့်ပွားအသုံးများ======1, ====နာမဝိသေသန=====1, ====နာမ်=====1, ====အသံထွက်=====1, ==အင်္ဂလိပ်===1}
2d4d4n5d4u;1;{=====ဆင်းသက်လာသော သုံးနှုန်းများ======1, ====ကြိယာ=====1, ====နာမ်=====1, ====အသံထွက်=====1, ==အင်္ဂလိပ်===1}
2d4d4n5d5n;1;{=====ကြောင်းတူအသုံးများ======1, =====ဆင့်ပွားအသုံးများ======1, ====နာမဝိသေသန=====1, ====အသံထွက်=====1, ==အင်္ဂလိပ်===1}
3d;47;{===နာမ်====1}
3d2u;3;{===See also<!--Please translate "See also"-->====1, ==ဘာသာျပန္ <!--Translation-->===1}
3d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===See also<!--Please translate "See also"-->====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, =={{=my=}}===1, ==ကိုးကား===1, ==ဘာသာျပန္ <!--Translation-->===1}
3d2u3d3n3n;1;{===Indian====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ==အင်္ဂလိပ်===1}
3d2u3d3n3n4d4n4n4n3u4d2u;3;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာပြန် <!--Translation-->====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, =={{=my=}}===1, ==ကိုးကား===1}
3d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====3, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====3, ====အရေအတွက်=====3, ===နာမ်====3, ===ဘာသာပြန် <!--Translation-->====1, ===ဘာသာပြန်====3, ===ရင်းမြစ်====3, ===အသံထွက်====3, =={{=my=}}===3, ==ကိုးကား===3}
3d3n;16;{===နာမ်====1, ===အသံ​ထွက်====1}
3d3n2u;2;{===နာမ်====1, ===အသံ​ထွက်====1, ==ဝဏ္ဏ​ပြောင်းစာ​လုံး​များ===1}
3d3n2u3d3n3n4d4n4n4n3u4d2u;2;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===See also<!--Please translate "See also"-->====1, ===နာမ်====1, ===ဘာသာပြန် <!--Translation-->====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, =={{=my=}}===1, ==ကိုးကား===1}
3d3n3n;30;{===နာမ်====1, ===ဝဏ္ဏ​ပြောင်းစာ​လုံး​များ====1, ===အသံ​ထွက်====1}
3d3n3n2u3d;1;{===နာမ်====2, ===မူလအမြစ်​ပြ====1, ===အသံထွက်====1, ==ပြင်​သစ်===1}
3d3n3n2u3d3n3n;3;{===တခြား​သုံး​ပုံစံ​များ====1, ===နာမ်====2, ===မူလအမြစ်​ပြ====2, ===အသံ​ထွက်====1, ==ပြင်သစ်===1}
3d3n3n2u3d3n3n3n4d4n;1;{====ကြောင်းတူစာလုံးကွဲများ=====1, ====ဆင်းသက်လာသောအသုံးများ=====1, ===တခြား​သုံး​ပုံစံ​များ====1, ===နာမ်====2, ===မူလအမြစ်​ပြ====2, ===အသံထွက်====1, ===အသံ​ထွက်====1, ==ပေါ်​တူ​ဂီ===1}
3d3n3n3n;252;{===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ===အင်္ဂလိပ်====1}
3d3n3n3n2u3d;1;{==={{နာမ်}}====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ===အင်္ဂလိပ်====1, =={{=en=}}===1}
3d3n3n3n3n;9;{==={{နာမ်}}====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ===အင်္ဂလိပ်====1}
3d3n3n3n3n3n3n;1;{==={{ကြိယာ}}====2, ===ကြိယာ====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမဝိသေသန====1, ===အင်္ဂလိပ်====1}
3d3n3n4d;5;{====ကြောင်း​တူ​စာလုံး​ကွဲ​များ=====1, ===နာမ်====1, ===မူလအမြစ်​ပြ====1, ===အသံထွက်====1}
3d3n3n4d3u;1;{====ကြောင်းတူစာလုံးကွဲများ=====1, ===ကြိယာ​ဝိသေသ​န====1, ===နာမ်====1, ===မူလအမြစ်​ပြ====1, ===အသံ​ထွက်====1}
3d3n3n4d4n4n4n3u4d2u;11;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===ကြိယာ====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, ==ကိုးကား===1}
3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====2, ====ဆက်စပ်အသုံးများ=====2, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====2, ====အင်္ဂလိပ်=====2, ====အရေအတွက်=====2, ===ကြိယာ====1, ===နာမ်====1, ===ဘာသာပြန်====2, ===ရင်းမြစ်====2, ===အသံထွက်====2, =={{=my=}}===1, ==ကိုးကား===2}
3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====4, ====ဆက်စပ်အသုံးများ=====4, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====4, ====အင်္ဂလိပ်=====4, ====အရေအတွက်=====4, ===နာမဝိသေသန====3, ===နာမ်====1, ===ဘာသာပြန်====4, ===ရင်းမြစ်====4, ===အသံထွက်====4, =={{=my=}}===3, ==ကိုးကား===4}
3d3n4d;1;{====အပြင်သို့အဆက်များ=====1, ===နာမ်====1, ===အသံထွက်====1}
3d3n4d3u2u3d;1;{====[[English]]=====1, ===[[Korea]]====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===အသံထွက်====1, ==Burmese===1}
3d3n4d4n3u4d;1;{====ကြောင်းတူစာလုံးကွဲများ=====1, ====ဆင်းသက်လာသောအသုံးများ=====2, ===ကြိယာ====1, ===နာမ်====1, ===အသံထွက်====1}
3d4d;7;{====ဆက်နွယ်သောအသုံးများ=====1, ===နာမ်====1}
3d4d3u3n;1;{====ကြိယာ=====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1}
3d4d4n;2;{====ကြောင်းတူစာလုံးကွဲများ=====1, ====ဒါလည်းကြည့်ပါ=====1, ===နာမ်====1}
4d3u3n3n;1;{====နာမ်=====1, ===ကြိယာ နှင့် နာမဝိသေသန====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1}
4d4n3u5d;2;{=====ကြောင်း​တူ​စာလုံး​ကွဲ​များ======1, ====တခြား​သုံး​ပုံစံ​များ=====1, ====အသံ​ထွက်=====1, ===နာမ်====1}
